howManyAgenciesWork,2019-05-13 00:31:36.012
howManyBookingsWithFriendsInvited,2019-05-13 00:31:36.023
howManyFreeEvents,2019-05-13 00:31:36.032
howManyRewardsClaimed,2019-05-13 00:31:36.04
isThereAnyEventAtLaCosta,2019-05-13 00:31:36.052
latestEventFinish,2019-05-13 00:31:36.061
doesAnyEventAcceptOnlineBooking,2019-05-13 00:31:36.176
totalPricePaid,2019-05-13 00:31:36.185
printClientsSortedBySumPaid,2019-05-13 00:31:36.196
printEventsSortedByStartDate,2019-05-13 00:31:36.208
howManyAgenciesWork,2019-05-17 16:39:26.831
howManyBookingsWithFriendsInvited,2019-05-17 16:39:26.947
howManyFreeEvents,2019-05-17 16:39:26.985
howManyRewardsClaimed,2019-05-17 16:39:27.013
isThereAnyEventAtLaCosta,2019-05-17 16:39:27.038
latestEventFinish,2019-05-17 16:39:27.068
doesAnyEventAcceptOnlineBooking,2019-05-17 16:39:27.193
totalPricePaid,2019-05-17 16:39:27.221
printClientsSortedBySumPaid,2019-05-17 16:39:27.258
printEventsSortedByStartDate,2019-05-17 16:39:27.327
howManyAgenciesWork,2019-05-24 12:32:54.445,main
howManyBookingsWithFriendsInvited,2019-05-24 12:32:54.484,main
howManyFreeEvents,2019-05-24 12:32:54.499,main
howManyRewardsClaimed,2019-05-24 12:32:54.51,main
isThereAnyEventAtLaCosta,2019-05-24 12:32:54.539,main
latestEventFinish,2019-05-24 12:32:54.553,main
doesAnyEventAcceptOnlineBooking,2019-05-24 12:32:54.566,main
totalPricePaid,2019-05-24 12:32:54.81,main
printClientsSortedBySumPaid,2019-05-24 12:32:54.844,main
printEventsSortedByStartDate,2019-05-24 12:32:54.863,main
howManyAgenciesWork,2019-05-24 12:51:10.434,main
howManyBookingsWithFriendsInvited,2019-05-24 12:51:10.451,main
howManyFreeEvents,2019-05-24 12:51:10.465,main
howManyRewardsClaimed,2019-05-24 12:51:10.48,main
isThereAnyEventAtLaCosta,2019-05-24 12:51:10.5,main
latestEventFinish,2019-05-24 12:51:10.517,main
doesAnyEventAcceptOnlineBooking,2019-05-24 12:51:10.538,main
totalPricePaid,2019-05-24 12:51:10.549,main
printClientsSortedBySumPaid,2019-05-24 12:51:10.56,main
printEventsSortedByStartDate,2019-05-24 12:51:10.575,main
howManyAgenciesWork,2019-06-02 10:44:19.964,main
howManyBookingsWithFriendsInvited,2019-06-02 10:44:19.976,main
howManyFreeEvents,2019-06-02 10:44:19.984,main
howManyRewardsClaimed,2019-06-02 10:44:20.007,main
isThereAnyEventAtLaCosta,2019-06-02 10:44:20.019,main
latestEventFinish,2019-06-02 10:44:20.049,main
doesAnyEventAcceptOnlineBooking,2019-06-02 10:44:20.086,main
totalPricePaid,2019-06-02 10:44:20.111,main
printClientsSortedBySumPaid,2019-06-02 10:44:20.182,main
printEventsSortedByStartDate,2019-06-02 10:44:20.229,main
howManyAgenciesWork,2019-06-02 12:41:05.014,main
howManyBookingsWithFriendsInvited,2019-06-02 12:41:05.043,main
howManyRewardsClaimed,2019-06-02 12:41:05.062,main
isThereAnyEventAtLaCosta,2019-06-02 12:41:05.072,main
doesAnyEventAcceptOnlineBooking,2019-06-02 12:41:05.082,main
totalPricePaid,2019-06-02 12:41:05.09,main
printClientsSortedBySumPaid,2019-06-02 12:41:05.099,main
printEventsSortedByStartDate,2019-06-02 12:41:05.113,main
howManyAgenciesWork,2019-06-02 14:02:23.156,main
howManyBookingsWithFriendsInvited,2019-06-02 14:02:23.17,main
howManyRewardsClaimed,2019-06-02 14:02:23.254,main
isThereAnyEventAtLaCosta,2019-06-02 14:02:23.293,main
doesAnyEventAcceptOnlineBooking,2019-06-02 14:02:23.335,main
totalPricePaid,2019-06-02 14:02:23.345,main
printClientsSortedBySumPaid,2019-06-02 14:02:23.356,main
printEventsSortedByStartDate,2019-06-02 14:02:23.37,main
howManyAgenciesWork,2019-06-02 14:22:06.775,main
howManyBookingsWithFriendsInvited,2019-06-02 14:22:06.788,main
howManyRewardsClaimed,2019-06-02 14:22:06.797,main
isThereAnyEventAtLaCosta,2019-06-02 14:22:06.809,main
doesAnyEventAcceptOnlineBooking,2019-06-02 14:22:06.816,main
totalPricePaid,2019-06-02 14:22:06.823,main
printClientsSortedBySumPaid,2019-06-02 14:22:06.831,main
printEventsSortedByStartDate,2019-06-02 14:22:06.841,main
clientsWhoSpentMoreThan100,2019-06-02 14:22:37.135SwingWorker-pool-1-thread-1
locationsWhichAreFull,2019-06-02 14:22:40.595SwingWorker-pool-1-thread-2
clientsWhoGoToFreeEvents,2019-06-02 14:22:43.451SwingWorker-pool-1-thread-3
clientsWhoGoToFreeEvents,2019-06-02 14:22:43.458SwingWorker-pool-1-thread-3
clientsWhoGoToFreeEvents,2019-06-02 14:22:43.464SwingWorker-pool-1-thread-3
clientsWhoGoToFreeEvents,2019-06-02 14:22:43.47SwingWorker-pool-1-thread-3
clientsWhoGoToFreeEvents,2019-06-02 14:22:43.476SwingWorker-pool-1-thread-3
clientsWhoGoToFreeEvents,2019-06-02 14:22:43.482SwingWorker-pool-1-thread-3
clientsWhoGoToFreeEvents,2019-06-02 14:22:43.488SwingWorker-pool-1-thread-3
